I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.185,0.137,-0.048,-0.161,0.116,0.044,-0.47,0.39,0.053,0.259,-0.622,-0.126
0.185,0.132,-0.053,-0.158,0.118,0.039,-0.469,0.388,0.047,0.262,-0.615,-0.057
0.183,0.139,-0.044,-0.161,0.113,0.047,-0.467,0.378,0.044,0.256,-0.607,0.048
0.178,0.131,-0.048,-0.154,0.112,0.042,-0.462,0.381,0.042,0.265,-0.597,0.118
0.183,0.14,-0.043,-0.161,0.113,0.049,-0.468,0.365,0.035,0.254,-0.595,0.328
0.186,0.141,-0.045,-0.163,0.115,0.048,-0.454,0.377,0.039,0.274,-0.578,0.593
0.191,0.143,-0.049,-0.167,0.12,0.047,-0.453,0.351,0.036,0.258,-0.584,0.756
0.169,0.163,-0.006,-0.166,0.088,0.078,-0.434,0.408,0.125,0.323,-0.53,0.971
0.153,0.171,0.018,-0.162,0.067,0.094,-0.446,0.377,0.088,0.391,-0.527,1.268
0.185,0.216,0.032,-0.2,0.076,0.124,-0.568,-0.044,-0.351,-0.194,-0.509,1.51
0.306,0.218,-0.088,-0.262,0.196,0.065,-0.732,-0.582,-1.025,-1.207,-0.593,1.753
0.31,0.318,0.008,-0.314,0.151,0.162,-0.879,-1.121,-1.48,-1.707,-0.924,1.999
0.373,0.249,-0.123,-0.311,0.248,0.063,-0.931,-1.154,-1.375,-1.366,-0.955,2.183
0.522,0.006,-0.516,-0.264,0.519,-0.254,-0.889,-0.559,-0.922,-0.743,-0.875,2.23
0.321,0.039,-0.282,-0.18,0.301,-0.121,-0.662,0.054,-0.331,-0.161,-0.74,1.944
0.189,0.129,-0.06,-0.159,0.124,0.035,-0.454,0.368,0.045,0.237,-0.505,2.302
0.212,0.173,-0.039,-0.192,0.125,0.067,-0.419,0.409,0.097,0.294,-0.462,3.196
0.152,0.166,0.014,-0.159,0.069,0.089,-0.389,0.437,0.121,0.313,-0.435,3.568
0.144,0.17,0.026,-0.158,0.059,0.098,-0.381,0.453,0.131,0.34,-0.432,3.825
0.156,0.2,0.044,-0.178,0.056,0.122,-0.37,0.446,0.128,0.334,-0.443,3.995
0.164,0.184,0.02,-0.174,0.072,0.102,-0.359,0.447,0.139,0.348,-0.446,4.105
0.168,0.183,0.015,-0.176,0.076,0.098,-0.351,0.441,0.151,0.36,-0.446,4.217
0.13,0.173,0.043,-0.152,0.043,0.108,-0.338,0.441,0.15,0.361,-0.436,4.271
0.092,0.167,0.076,-0.129,0.008,0.121,-0.331,0.437,0.149,0.358,-0.435,4.331
0.1,0.167,0.067,-0.133,0.016,0.117,-0.319,0.461,0.151,0.355,-0.426,4.347
0.104,0.177,0.073,-0.141,0.015,0.125,-0.315,0.478,0.149,0.355,-0.423,4.394
0.118,0.194,0.076,-0.157,0.021,0.135,-0.315,0.477,0.152,0.352,-0.417,4.397
0.119,0.193,0.074,-0.156,0.022,0.133,-0.312,0.485,0.166,0.35,-0.412,4.414
0.108,0.187,0.079,-0.147,0.014,0.133,-0.309,0.487,0.174,0.346,-0.408,4.434
0.105,0.184,0.079,-0.144,0.012,0.131,-0.31,0.491,0.174,0.344,-0.404,4.424
0.095,0.178,0.083,-0.137,0.006,0.131,-0.306,0.498,0.188,0.341,-0.398,4.419
0.091,0.175,0.084,-0.134,0.003,0.129,-0.299,0.502,0.188,0.338,-0.408,4.406
0.092,0.179,0.087,-0.136,0.003,0.133,-0.293,0.516,0.199,0.367,-0.424,4.402
0.11,0.18,0.07,-0.146,0.02,0.125,-0.29,0.517,0.228,0.389,-0.42,4.364
0.098,0.18,0.081,-0.139,0.008,0.13,-0.287,0.522,0.243,0.388,-0.411,4.339
0.08,0.18,0.1,-0.131,-0.01,0.14,-0.285,0.529,0.252,0.386,-0.404,4.333
0.07,0.18,0.109,-0.125,-0.02,0.144,-0.281,0.512,0.245,0.375,-0.395,4.306
0.048,0.182,0.134,-0.115,-0.043,0.158,-0.279,0.49,0.245,0.368,-0.389,4.306
0.07,0.196,0.127,-0.133,-0.029,0.161,-0.286,0.447,0.213,0.357,-0.382,4.323
0.089,0.214,0.124,-0.152,-0.018,0.169,-0.3,0.398,0.147,0.315,-0.377,4.327
0.093,0.216,0.122,-0.155,-0.015,0.169,-0.314,0.356,0.113,0.276,-0.373,4.363
0.092,0.211,0.119,-0.152,-0.013,0.165,-0.315,0.324,0.095,0.263,-0.365,4.412
0.092,0.209,0.118,-0.151,-0.013,0.163,-0.316,0.307,0.081,0.25,-0.362,4.41
0.094,0.205,0.111,-0.15,-0.009,0.158,-0.321,0.298,0.072,0.24,-0.353,4.404
0.095,0.205,0.11,-0.15,-0.008,0.157,-0.319,0.29,0.068,0.234,-0.357,4.402
0.105,0.21,0.105,-0.158,0.0,0.157,-0.32,0.28,0.062,0.227,-0.371,4.395
0.107,0.209,0.102,-0.158,0.002,0.156,-0.319,0.268,0.056,0.219,-0.366,4.392
0.114,0.211,0.097,-0.163,0.008,0.154,-0.321,0.247,0.051,0.212,-0.363,4.387
0.119,0.215,0.096,-0.167,0.011,0.155,-0.33,0.231,0.046,0.206,-0.36,4.384
0.122,0.215,0.093,-0.169,0.014,0.154,-0.326,0.223,0.045,0.205,-0.355,4.38
0.121,0.212,0.091,-0.166,0.014,0.152,-0.321,0.214,0.044,0.205,-0.353,4.378
0.121,0.21,0.089,-0.165,0.016,0.149,-0.318,0.206,0.041,0.2,-0.345,4.371
0.123,0.21,0.087,-0.167,0.018,0.148,-0.312,0.196,0.039,0.2,-0.339,4.377
0.098,0.209,0.111,-0.154,-0.006,0.16,-0.308,0.197,0.042,0.199,-0.332,4.395
0.104,0.221,0.117,-0.163,-0.007,0.169,-0.304,0.209,0.045,0.194,-0.325,4.393
0.111,0.224,0.113,-0.168,-0.001,0.169,-0.305,0.21,0.045,0.195,-0.32,4.384
0.1,0.216,0.116,-0.158,-0.009,0.166,-0.302,0.209,0.044,0.195,-0.314,4.379
0.101,0.214,0.114,-0.158,-0.007,0.164,-0.299,0.206,0.045,0.195,-0.307,4.359
0.092,0.208,0.116,-0.15,-0.012,0.161,-0.3,0.205,0.045,0.195,-0.301,4.332
0.092,0.206,0.114,-0.149,-0.012,0.16,-0.296,0.205,0.042,0.192,-0.294,4.309
0.1,0.216,0.116,-0.158,-0.008,0.166,-0.289,0.195,0.04,0.188,-0.287,4.281
0.099,0.213,0.114,-0.157,-0.008,0.164,-0.285,0.186,0.036,0.185,-0.282,4.246
0.105,0.221,0.116,-0.163,-0.006,0.168,-0.279,0.178,0.035,0.181,-0.277,4.208
0.115,0.24,0.126,-0.178,-0.006,0.183,-0.273,0.168,0.029,0.177,-0.272,4.167
0.107,0.24,0.132,-0.173,-0.012,0.186,-0.27,0.161,0.033,0.173,-0.269,4.132
0.112,0.241,0.129,-0.177,-0.008,0.185,-0.269,0.159,0.05,0.17,-0.263,4.103
0.118,0.245,0.127,-0.182,-0.005,0.186,-0.27,0.155,0.05,0.17,-0.26,4.068
0.119,0.245,0.126,-0.183,-0.004,0.185,-0.269,0.153,0.05,0.17,-0.252,4.027
0.124,0.246,0.122,-0.186,0.001,0.184,-0.27,0.15,0.048,0.17,-0.246,3.988
0.072,0.252,0.18,-0.162,-0.054,0.215,-0.27,0.148,0.06,0.181,-0.236,3.955
0.082,0.251,0.169,-0.167,-0.044,0.209,-0.266,0.143,0.064,0.187,-0.23,3.919
0.116,0.259,0.143,-0.188,-0.014,0.201,-0.26,0.13,0.054,0.176,-0.222,3.877
0.078,0.266,0.188,-0.172,-0.055,0.227,-0.253,0.129,0.054,0.181,-0.213,3.838
0.07,0.273,0.202,-0.172,-0.066,0.238,-0.252,0.111,0.04,0.167,-0.208,3.798
0.067,0.268,0.201,-0.168,-0.067,0.234,-0.24,0.125,0.046,0.174,-0.194,3.758
0.075,0.27,0.195,-0.172,-0.06,0.232,-0.244,0.114,0.042,0.169,-0.196,3.729
0.076,0.287,0.212,-0.182,-0.068,0.249,-0.224,0.154,0.119,0.244,-0.154,3.72
0.097,0.294,0.197,-0.196,-0.05,0.246,-0.239,0.15,0.098,0.316,-0.131,3.701
0.131,0.34,0.209,-0.236,-0.039,0.274,-0.356,-0.252,-0.343,-0.253,-0.099,3.711
0.215,0.338,0.123,-0.276,0.046,0.23,-0.531,-0.847,-1.056,-1.296,-0.243,3.812
0.236,0.418,0.182,-0.327,0.027,0.3,-0.7,-1.42,-1.56,-1.857,-0.609,3.925
0.288,0.385,0.097,-0.337,0.096,0.24,-0.758,-1.543,-1.513,-1.559,-0.644,4.007
0.447,0.139,-0.308,-0.293,0.378,-0.084,-0.733,-0.964,-1.058,-0.925,-0.551,3.947
0.286,0.137,-0.15,-0.211,0.218,-0.006,-0.499,-0.288,-0.415,-0.32,-0.436,3.638
0.128,0.235,0.107,-0.182,0.01,0.17,-0.273,0.044,-0.014,0.101,-0.224,3.406
0.104,0.26,0.156,-0.182,-0.026,0.208,-0.249,0.123,0.063,0.196,-0.168,3.358
0.068,0.262,0.194,-0.165,-0.063,0.228,-0.221,0.138,0.08,0.198,-0.147,3.304
0.085,0.256,0.171,-0.171,-0.043,0.213,-0.21,0.152,0.084,0.216,-0.142,3.258
0.06,0.257,0.197,-0.159,-0.069,0.226,-0.198,0.17,0.106,0.235,-0.143,3.22
0.066,0.253,0.187,-0.159,-0.061,0.219,-0.186,0.17,0.104,0.237,-0.136,3.176
0.069,0.258,0.19,-0.164,-0.061,0.224,-0.179,0.169,0.105,0.233,-0.137,3.137
0.072,0.259,0.187,-0.166,-0.058,0.223,-0.165,0.171,0.111,0.232,-0.134,3.115
0.083,0.264,0.181,-0.174,-0.049,0.222,-0.159,0.169,0.109,0.229,-0.141,3.075
0.073,0.265,0.193,-0.169,-0.06,0.229,-0.149,0.172,0.115,0.23,-0.139,3.016
0.079,0.271,0.192,-0.175,-0.057,0.231,-0.142,0.175,0.113,0.224,-0.14,2.967
0.075,0.273,0.198,-0.174,-0.062,0.235,-0.134,0.175,0.119,0.225,-0.14,2.914
0.076,0.269,0.193,-0.173,-0.058,0.23,-0.127,0.175,0.119,0.225,-0.14,2.865
0.077,0.267,0.189,-0.172,-0.056,0.228,-0.121,0.175,0.122,0.225,-0.139,2.807
0.061,0.264,0.202,-0.163,-0.071,0.233,-0.114,0.183,0.142,0.225,-0.141,2.746
0.066,0.26,0.194,-0.164,-0.064,0.227,-0.108,0.202,0.155,0.229,-0.136,2.692
0.034,0.259,0.225,-0.147,-0.095,0.242,-0.1,0.215,0.177,0.237,-0.14,2.635
0.024,0.26,0.236,-0.142,-0.106,0.248,-0.095,0.213,0.183,0.242,-0.15,2.581
0.036,0.26,0.223,-0.148,-0.093,0.241,-0.093,0.227,0.189,0.248,-0.138,2.519
0.039,0.26,0.221,-0.15,-0.091,0.24,-0.09,0.249,0.213,0.259,-0.154,2.46
0.054,0.259,0.206,-0.157,-0.076,0.232,-0.088,0.249,0.221,0.255,-0.166,2.411
0.034,0.26,0.227,-0.147,-0.096,0.243,-0.084,0.24,0.224,0.249,-0.157,2.362
0.034,0.261,0.227,-0.148,-0.096,0.244,-0.084,0.208,0.192,0.242,-0.155,2.31
0.06,0.278,0.218,-0.169,-0.079,0.248,-0.095,0.156,0.133,0.198,-0.15,2.265
0.085,0.3,0.216,-0.193,-0.066,0.258,-0.108,0.1,0.074,0.141,-0.145,2.24
0.09,0.298,0.207,-0.194,-0.059,0.252,-0.127,0.051,0.028,0.09,-0.145,2.194
0.089,0.294,0.205,-0.192,-0.059,0.249,-0.137,0.019,0.01,0.051,-0.145,2.132
0.094,0.291,0.197,-0.193,-0.051,0.243,-0.142,0.001,-0.006,0.034,-0.145,2.082
0.095,0.286,0.191,-0.191,-0.049,0.238,-0.149,-0.006,-0.017,0.026,-0.153,2.027
0.1,0.284,0.184,-0.192,-0.042,0.234,-0.15,-0.012,-0.021,0.018,-0.156,1.961
0.102,0.279,0.178,-0.191,-0.038,0.228,-0.149,-0.019,-0.029,0.007,-0.154,1.897
0.109,0.28,0.171,-0.195,-0.031,0.225,-0.153,-0.026,-0.027,0.001,-0.156,1.847
0.113,0.28,0.166,-0.197,-0.027,0.223,-0.16,-0.032,-0.026,-0.001,-0.154,1.797
0.119,0.28,0.161,-0.2,-0.021,0.22,-0.16,-0.034,-0.023,-0.004,-0.157,1.743
0.123,0.28,0.157,-0.201,-0.017,0.218,-0.16,-0.037,-0.031,-0.006,-0.169,1.693
0.123,0.276,0.153,-0.2,-0.015,0.214,-0.16,-0.04,-0.041,-0.009,-0.17,1.628
0.127,0.272,0.146,-0.199,-0.01,0.209,-0.16,-0.042,-0.039,-0.011,-0.169,1.583
0.098,0.269,0.171,-0.184,-0.036,0.219,-0.158,-0.048,-0.038,-0.017,-0.17,1.496
0.079,0.267,0.188,-0.173,-0.055,0.227,-0.152,-0.051,-0.034,-0.024,-0.169,1.307
0.083,0.259,0.176,-0.171,-0.047,0.217,-0.148,-0.058,-0.035,-0.031,-0.171,1.162
0.09,0.265,0.176,-0.178,-0.043,0.22,-0.143,-0.063,-0.035,-0.038,-0.168,1.082
0.106,0.275,0.17,-0.191,-0.033,0.222,-0.139,-0.072,-0.035,-0.044,-0.172,1.003
0.111,0.275,0.164,-0.194,-0.027,0.219,-0.134,-0.082,-0.036,-0.042,-0.167,0.926
0.099,0.273,0.174,-0.187,-0.038,0.223,-0.13,-0.078,-0.034,-0.039,-0.173,0.854
0.085,0.269,0.184,-0.178,-0.05,0.227,-0.125,-0.082,-0.037,-0.042,-0.189,0.791
0.088,0.271,0.183,-0.179,-0.047,0.227,-0.12,-0.078,-0.032,-0.033,-0.182,0.727
0.095,0.266,0.171,-0.181,-0.038,0.219,-0.117,-0.082,-0.032,-0.038,-0.175,0.639
0.083,0.266,0.183,-0.175,-0.051,0.225,-0.11,-0.075,-0.027,-0.031,-0.163,0.568
0.063,0.263,0.2,-0.163,-0.069,0.231,-0.109,-0.072,-0.031,-0.033,-0.163,0.505
0.058,0.268,0.21,-0.163,-0.076,0.239,-0.102,-0.069,-0.021,-0.026,-0.142,0.426
0.082,0.261,0.179,-0.171,-0.049,0.219,-0.099,-0.058,-0.029,-0.026,-0.143,0.352
0.082,0.276,0.194,-0.179,-0.057,0.234,-0.095,-0.068,0.002,-0.008,-0.102,0.301
0.092,0.304,0.213,-0.198,-0.061,0.258,-0.085,-0.027,0.079,0.124,-0.071,0.265
0.097,0.3,0.203,-0.199,-0.054,0.251,-0.172,-0.264,-0.228,-0.166,-0.06,0.237
0.179,0.322,0.143,-0.25,0.017,0.232,-0.352,-0.88,-0.962,-1.144,-0.062,0.293
0.297,0.355,0.057,-0.326,0.12,0.205,-0.533,-1.534,-1.645,-2.024,-0.424,0.34
0.243,0.37,0.127,-0.307,0.058,0.248,-0.62,-1.882,-1.787,-2.027,-0.605,0.381
0.376,0.177,-0.199,-0.276,0.287,-0.011,-0.641,-1.501,-1.4,-1.427,-0.498,0.404
0.384,-0.006,-0.39,-0.189,0.387,-0.198,-0.491,-0.731,-0.773,-0.798,-0.452,0.158
0.123,0.125,0.003,-0.124,0.06,0.064,-0.195,-0.24,-0.213,-0.249,-0.201,-0.123
0.074,0.238,0.165,-0.156,-0.046,0.201,-0.079,-0.08,-0.019,-0.01,-0.032,-0.172
0.069,0.239,0.17,-0.154,-0.05,0.204,-0.066,-0.048,0.017,0.019,-0.008,-0.217
0.07,0.241,0.171,-0.155,-0.05,0.206,-0.049,-0.035,0.049,0.054,0.017,-0.283
0.048,0.239,0.191,-0.144,-0.071,0.215,-0.048,-0.022,0.064,0.069,0.021,-0.321
0.03,0.241,0.211,-0.136,-0.09,0.225,-0.037,-0.02,0.08,0.1,0.05,-0.369
0.046,0.239,0.193,-0.143,-0.074,0.216,-0.034,-0.02,0.087,0.106,0.056,-0.406
0.039,0.237,0.198,-0.138,-0.08,0.217,-0.026,-0.017,0.091,0.104,0.059,-0.461
0.046,0.234,0.187,-0.14,-0.071,0.21,-0.021,-0.014,0.084,0.11,0.06,-0.514
0.044,0.231,0.187,-0.138,-0.072,0.209,-0.014,-0.015,0.083,0.11,0.061,-0.553
0.048,0.228,0.18,-0.138,-0.066,0.204,-0.01,-0.009,0.076,0.11,0.066,-0.583
0.045,0.225,0.181,-0.135,-0.069,0.202,-0.004,-0.002,0.076,0.106,0.065,-0.628
0.049,0.223,0.174,-0.137,-0.063,0.199,0.001,0.003,0.079,0.104,0.065,-0.685
0.045,0.22,0.175,-0.133,-0.065,0.197,0.007,0.013,0.089,0.104,0.066,-0.723
0.033,0.22,0.187,-0.127,-0.077,0.203,0.021,0.014,0.09,0.096,0.063,-0.765
0.015,0.22,0.205,-0.118,-0.095,0.212,0.036,0.033,0.11,0.11,0.073,-0.792
0.011,0.22,0.208,-0.116,-0.098,0.214,0.043,0.055,0.14,0.13,0.095,-0.831
0.02,0.22,0.2,-0.12,-0.09,0.21,0.048,0.074,0.152,0.136,0.096,-0.886
-0.022,0.22,0.242,-0.099,-0.132,0.23,0.07,0.113,0.186,0.171,0.095,-0.928
-0.006,0.22,0.226,-0.107,-0.116,0.223,0.078,0.127,0.207,0.188,0.098,-0.98
0.006,0.22,0.214,-0.113,-0.104,0.217,0.084,0.132,0.222,0.182,0.104,-1.021
-0.023,0.22,0.244,-0.099,-0.134,0.232,0.078,0.121,0.223,0.173,0.111,-1.062
-0.015,0.22,0.235,-0.102,-0.125,0.227,0.057,0.076,0.189,0.157,0.117,-1.086
-0.013,0.221,0.235,-0.104,-0.124,0.228,0.039,0.029,0.133,0.109,0.131,-1.096
0.022,0.225,0.203,-0.124,-0.091,0.214,0.018,-0.021,0.069,0.038,0.129,-1.124
0.047,0.225,0.178,-0.136,-0.066,0.201,0.012,-0.072,0.017,-0.005,0.117,-1.144
0.06,0.225,0.165,-0.143,-0.053,0.195,0.005,-0.106,-0.014,-0.04,0.104,-1.177
0.069,0.225,0.155,-0.147,-0.043,0.19,0.0,-0.121,-0.026,-0.067,0.098,-1.207
0.035,0.225,0.19,-0.13,-0.078,0.208,-0.006,-0.137,-0.051,-0.079,0.093,-1.237
0.032,0.228,0.196,-0.131,-0.082,0.212,-0.009,-0.139,-0.06,-0.077,0.097,-1.27
0.041,0.23,0.189,-0.136,-0.074,0.21,-0.013,-0.158,-0.063,-0.086,0.093,-1.304
0.041,0.23,0.189,-0.136,-0.074,0.21,-0.015,-0.171,-0.086,-0.094,0.096,-1.351
0.05,0.234,0.184,-0.142,-0.067,0.209,-0.019,-0.164,-0.085,-0.095,0.095,-1.395
0.05,0.236,0.186,-0.143,-0.069,0.211,-0.02,-0.149,-0.089,-0.089,0.076,-1.44
0.04,0.235,0.196,-0.138,-0.078,0.215,-0.01,-0.121,-0.089,-0.091,0.075,-1.471
0.051,0.224,0.173,-0.137,-0.061,0.198,-0.029,-0.136,-0.115,-0.172,0.023,-1.556
0.119,0.155,0.036,-0.138,0.042,0.095,-0.101,-0.23,-0.321,-0.4,-0.021,-1.626
0.249,0.148,-0.101,-0.199,0.175,0.023,-0.276,-0.494,-0.597,-0.677,-0.155,-1.628
0.343,0.006,-0.338,-0.174,0.341,-0.166,-0.333,-0.66,-0.659,-0.68,-0.143,-1.679
0.375,-0.397,-0.771,0.011,0.574,-0.584,-0.234,-0.58,-0.465,-0.615,-0.24,-1.957
0.37,-0.698,-1.068,0.164,0.719,-0.883,-0.131,-0.327,-0.199,-0.799,-0.856,-2.458
0.267,-0.745,-1.012,0.239,0.64,-0.878,0.127,0.177,0.13,-0.845,-0.996,-2.688
0.171,-0.544,-0.715,0.187,0.443,-0.629,0.397,0.523,0.375,-0.668,-0.671,-2.591
0.07,-0.237,-0.307,0.084,0.189,-0.272,0.54,0.619,0.474,-0.445,-0.359,-2.358
-0.01,0.095,0.104,-0.043,-0.057,0.1,0.453,0.385,0.47,-0.132,0.021,-2.085
0.013,0.25,0.236,-0.132,-0.112,0.243,0.172,-0.072,0.114,-0.031,0.166,-2.008
-0.001,0.238,0.239,-0.119,-0.12,0.239,0.041,-0.169,-0.089,-0.086,0.165,-2.017
-0.001,0.265,0.266,-0.132,-0.134,0.265,0.024,-0.176,-0.066,-0.066,0.194,-2.013
0.005,0.266,0.261,-0.136,-0.128,0.264,0.006,-0.228,-0.115,-0.072,0.198,-2.013
-0.017,0.271,0.288,-0.127,-0.153,0.28,-0.004,-0.224,-0.096,-0.064,0.207,-2.025
0.011,0.269,0.258,-0.14,-0.124,0.264,-0.016,-0.251,-0.125,-0.061,0.224,-2.039
-0.004,0.277,0.28,-0.137,-0.142,0.278,-0.023,-0.257,-0.14,-0.06,0.226,-1.997
-0.013,0.297,0.309,-0.143,-0.162,0.303,-0.029,-0.269,-0.14,-0.053,0.224,-1.944
0.008,0.297,0.289,-0.152,-0.141,0.293,-0.023,-0.279,-0.147,-0.057,0.228,-1.904
-0.026,0.303,0.329,-0.139,-0.177,0.316,-0.015,-0.29,-0.149,-0.051,0.247,-1.875
