I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.311,0.085,-0.226,-0.198,0.2685,-0.0705,-0.632,0.775,0.045,0.325,-1.126,1.069
0.307,0.085,-0.222,-0.196,0.2645,-0.06849999999999999,-0.626,0.775,0.046,0.328,-1.124,1.117
0.305,0.085,-0.22,-0.195,0.2625,-0.06749999999999999,-0.624,0.775,0.056,0.331,-1.126,1.157
0.305,0.085,-0.22,-0.195,0.2625,-0.06749999999999999,-0.618,0.775,0.066,0.33,-1.124,1.171
0.305,0.085,-0.22,-0.195,0.2625,-0.06749999999999999,-0.61,0.775,0.065,0.33,-1.12,1.165
0.305,0.085,-0.22,-0.195,0.2625,-0.06749999999999999,-0.606,0.775,0.065,0.334,-1.12,1.161
0.302,0.085,-0.217,-0.1935,0.2595,-0.06599999999999999,-0.602,0.775,0.065,0.335,-1.121,1.157
0.299,0.085,-0.214,-0.192,0.2565,-0.06449999999999999,-0.598,0.775,0.065,0.335,-1.118,1.153
0.3,0.085,-0.215,-0.1925,0.2575,-0.06499999999999999,-0.595,0.775,0.065,0.335,-1.115,1.15
0.3,0.085,-0.215,-0.1925,0.2575,-0.06499999999999999,-0.595,0.775,0.065,0.335,-1.115,1.15
0.3,0.085,-0.215,-0.1925,0.2575,-0.06499999999999999,-0.595,0.779,0.065,0.335,-1.115,1.146
0.297,0.085,-0.212,-0.191,0.2545,-0.06349999999999999,-0.595,0.78,0.065,0.338,-1.112,1.142
0.295,0.085,-0.209,-0.19,0.2525,-0.062499999999999986,-0.595,0.78,0.065,0.341,-1.109,1.138
0.294,0.084,-0.21,-0.189,0.252,-0.06299999999999999,-0.595,0.78,0.065,0.34,-1.11,1.134
0.29,0.08,-0.21,-0.185,0.24999999999999997,-0.06499999999999999,-0.595,0.78,0.065,0.34,-1.11,1.13
0.29,0.08,-0.21,-0.185,0.24999999999999997,-0.06499999999999999,-0.595,0.78,0.065,0.34,-1.106,1.13
0.292,0.081,-0.211,-0.1865,0.2515,-0.06499999999999999,-0.592,0.78,0.065,0.339,-1.102,1.127
0.3,0.092,-0.208,-0.196,0.254,-0.057999999999999996,-0.589,0.78,0.065,0.342,-1.098,1.125
0.305,0.1,-0.205,-0.2025,0.255,-0.05249999999999999,-0.59,0.78,0.065,0.345,-1.095,1.124
0.3,0.095,-0.205,-0.1975,0.2525,-0.05499999999999999,-0.59,0.78,0.065,0.345,-1.095,1.12
0.3,0.095,-0.205,-0.1975,0.2525,-0.05499999999999999,-0.59,0.78,0.065,0.345,-1.091,1.12
0.301,0.095,-0.206,-0.198,0.2535,-0.055499999999999994,-0.59,0.78,0.067,0.343,-1.086,1.12
0.298,0.095,-0.203,-0.1965,0.2505,-0.05399999999999999,-0.59,0.78,0.076,0.351,-1.085,1.136
0.295,0.095,-0.2,-0.195,0.2475,-0.05249999999999999,-0.59,0.78,0.087,0.361,-1.084,1.151
0.295,0.095,-0.2,-0.195,0.2475,-0.05249999999999999,-0.59,0.78,0.09,0.36,-1.08,1.14
0.295,0.095,-0.2,-0.195,0.2475,-0.05249999999999999,-0.586,0.78,0.09,0.36,-1.076,1.131
0.295,0.095,-0.2,-0.195,0.2475,-0.05249999999999999,-0.585,0.78,0.09,0.36,-1.075,1.127
0.295,0.095,-0.2,-0.195,0.2475,-0.05249999999999999,-0.585,0.78,0.09,0.36,-1.074,1.122
0.294,0.095,-0.199,-0.1945,0.2465,-0.05199999999999999,-0.585,0.78,0.09,0.36,-1.069,1.113
0.29,0.095,-0.195,-0.1925,0.2425,-0.04999999999999999,-0.585,0.78,0.09,0.36,-1.065,1.105
0.29,0.095,-0.195,-0.1925,0.2425,-0.04999999999999999,-0.585,0.78,0.09,0.36,-1.065,1.102
0.287,0.096,-0.192,-0.1915,0.239,-0.04749999999999999,-0.585,0.78,0.09,0.36,-1.062,1.091
0.283,0.093,-0.19,-0.188,0.2365,-0.04849999999999999,-0.585,0.78,0.09,0.36,-1.06,1.08
0.279,0.09,-0.19,-0.1845,0.23400000000000004,-0.049500000000000016,-0.585,0.78,0.09,0.36,-1.06,1.073
0.275,0.09,-0.185,-0.1825,0.23000000000000004,-0.047500000000000014,-0.585,0.78,0.09,0.36,-1.055,1.065
0.272,0.09,-0.182,-0.181,0.22700000000000004,-0.04600000000000001,-0.581,0.78,0.09,0.36,-1.05,1.057
0.297,0.09,-0.207,-0.1935,0.252,-0.058499999999999996,-0.58,0.78,0.09,0.36,-1.05,1.049
0.312,0.09,-0.222,-0.201,0.267,-0.066,-0.58,0.78,0.09,0.36,-1.048,1.041
0.303,0.09,-0.213,-0.1965,0.258,-0.0615,-0.58,0.78,0.09,0.36,-1.045,1.032
0.3,0.09,-0.21,-0.195,0.255,-0.06,-0.58,0.78,0.09,0.36,-1.045,1.02
0.296,0.09,-0.206,-0.193,0.251,-0.057999999999999996,-0.58,0.78,0.09,0.36,-1.041,1.008
0.295,0.09,-0.205,-0.1925,0.25,-0.057499999999999996,-0.58,0.78,0.093,0.36,-1.039,0.999
0.294,0.09,-0.204,-0.192,0.249,-0.056999999999999995,-0.58,0.78,0.096,0.36,-1.041,0.99
0.289,0.09,-0.199,-0.1895,0.244,-0.05449999999999999,-0.579,0.78,0.095,0.36,-1.039,0.977
0.285,0.09,-0.195,-0.1875,0.24,-0.05249999999999999,-0.575,0.78,0.095,0.36,-1.035,0.965
0.285,0.09,-0.195,-0.1875,0.24,-0.05249999999999999,-0.575,0.78,0.095,0.36,-1.035,0.957
0.286,0.093,-0.193,-0.1895,0.2395,-0.04999999999999999,-0.575,0.78,0.095,0.36,-1.035,0.949
0.283,0.096,-0.187,-0.1895,0.235,-0.045499999999999985,-0.575,0.78,0.095,0.36,-1.035,0.941
0.28,0.095,-0.185,-0.1875,0.23250000000000004,-0.04500000000000001,-0.575,0.78,0.095,0.36,-1.034,0.933
0.28,0.095,-0.185,-0.1875,0.23250000000000004,-0.04500000000000001,-0.575,0.78,0.095,0.36,-1.03,0.925
0.278,0.097,-0.181,-0.1875,0.22950000000000004,-0.04200000000000001,-0.575,0.78,0.095,0.36,-1.03,0.917
0.262,0.082,-0.18,-0.17200000000000001,0.221,-0.049,-0.576,0.783,0.095,0.363,-1.03,0.908
0.268,0.09,-0.178,-0.179,0.22300000000000003,-0.04400000000000001,-0.573,0.786,0.095,0.366,-1.03,0.903
0.287,0.112,-0.175,-0.19949999999999998,0.23099999999999998,-0.031499999999999986,-0.57,0.785,0.096,0.365,-1.029,0.898
0.28,0.105,-0.175,-0.1925,0.22750000000000004,-0.03500000000000002,-0.57,0.785,0.1,0.365,-1.025,0.89
0.275,0.104,-0.171,-0.1895,0.22300000000000003,-0.033500000000000016,-0.57,0.785,0.104,0.365,-1.025,0.884
0.275,0.105,-0.169,-0.19,0.22250000000000003,-0.032500000000000015,-0.57,0.785,0.108,0.365,-1.026,0.858
0.276,0.105,-0.171,-0.1905,0.22350000000000003,-0.033000000000000015,-0.57,0.785,0.112,0.366,-1.023,0.823
0.273,0.104,-0.169,-0.1885,0.22100000000000003,-0.032500000000000015,-0.57,0.785,0.116,0.363,-1.02,0.801
0.265,0.1,-0.165,-0.1825,0.21500000000000002,-0.0325,-0.57,0.785,0.12,0.36,-1.02,0.795
0.265,0.1,-0.165,-0.1825,0.21500000000000002,-0.0325,-0.57,0.785,0.12,0.377,-1.02,0.791
0.262,0.1,-0.162,-0.181,0.21200000000000002,-0.031,-0.57,0.785,0.12,0.379,-1.021,0.784
0.26,0.1,-0.16,-0.18,0.21000000000000002,-0.03,-0.568,0.785,0.12,0.374,-1.018,0.778
0.258,0.099,-0.159,-0.1785,0.20850000000000002,-0.03,-0.564,0.785,0.12,0.375,-1.015,0.773
0.25,0.095,-0.155,-0.1725,0.2025,-0.03,-0.56,0.785,0.12,0.375,-1.015,0.765
0.25,0.095,-0.155,-0.1725,0.2025,-0.03,-0.556,0.783,0.118,0.375,-1.015,0.761
0.25,0.095,-0.155,-0.1725,0.2025,-0.03,-0.552,0.797,0.132,0.375,-1.015,0.755
0.25,0.095,-0.155,-0.1725,0.2025,-0.03,-0.548,0.809,0.144,0.375,-1.013,0.745
0.25,0.095,-0.155,-0.1725,0.2025,-0.03,-0.544,0.81,0.145,0.376,-1.009,0.739
0.25,0.095,-0.155,-0.1725,0.2025,-0.03,-0.54,0.81,0.145,0.38,-1.005,0.735
0.246,0.091,-0.155,-0.16849999999999998,0.2005,-0.032,-0.536,0.811,0.15,0.379,-1.001,0.727
0.245,0.09,-0.155,-0.16749999999999998,0.2,-0.0325,-0.532,0.808,0.146,0.387,-1.0,0.718
0.245,0.09,-0.155,-0.16749999999999998,0.2,-0.0325,-0.528,0.818,0.164,0.404,-0.999,0.714
0.245,0.09,-0.155,-0.16749999999999998,0.2,-0.0325,-0.524,0.831,0.187,0.417,-0.994,0.707
0.245,0.09,-0.155,-0.16749999999999998,0.2,-0.0325,-0.52,0.82,0.175,0.42,-0.99,0.69
0.241,0.086,-0.155,-0.16349999999999998,0.198,-0.0345,-0.516,0.812,0.167,0.42,-0.99,0.678
0.24,0.085,-0.155,-0.1625,0.19749999999999998,-0.03499999999999999,-0.512,0.834,0.189,0.42,-0.988,0.666
0.24,0.085,-0.155,-0.1625,0.19749999999999998,-0.03499999999999999,-0.508,0.846,0.201,0.42,-0.982,0.654
0.24,0.085,-0.155,-0.1625,0.19749999999999998,-0.03499999999999999,-0.505,0.839,0.194,0.42,-0.98,0.643
0.24,0.085,-0.155,-0.1625,0.19749999999999998,-0.03499999999999999,-0.505,0.84,0.195,0.42,-0.98,0.635
0.24,0.085,-0.155,-0.1625,0.19749999999999998,-0.03499999999999999,-0.505,0.84,0.196,0.42,-0.976,0.627
0.237,0.082,-0.155,-0.1595,0.19599999999999998,-0.03649999999999999,-0.502,0.84,0.192,0.42,-0.972,0.619
0.235,0.08,-0.155,-0.1575,0.19499999999999998,-0.03749999999999999,-0.499,0.84,0.19,0.421,-0.968,0.611
0.234,0.079,-0.155,-0.1565,0.1945,-0.038000000000000006,-0.5,0.84,0.189,0.418,-0.964,0.603
0.23,0.075,-0.155,-0.1525,0.1925,-0.04000000000000001,-0.5,0.84,0.19,0.415,-0.96,0.595
0.23,0.075,-0.155,-0.1525,0.1925,-0.04000000000000001,-0.496,0.84,0.209,0.432,-0.955,0.587
0.227,0.072,-0.155,-0.1495,0.191,-0.04150000000000001,-0.494,0.84,0.23,0.434,-0.956,0.578
0.224,0.069,-0.155,-0.14650000000000002,0.1895,-0.043,-0.496,0.84,0.233,0.427,-0.952,0.573
0.226,0.071,-0.155,-0.1485,0.1905,-0.04200000000000001,-0.494,0.84,0.223,0.424,-0.943,0.568
0.23,0.075,-0.155,-0.1525,0.1925,-0.04000000000000001,-0.49,0.84,0.22,0.42,-0.94,0.56
0.237,0.082,-0.155,-0.1595,0.19599999999999998,-0.03649999999999999,-0.49,0.829,0.217,0.416,-0.936,0.556
0.253,0.098,-0.155,-0.1755,0.20400000000000001,-0.028499999999999998,-0.491,0.815,0.209,0.415,-0.932,0.549
0.264,0.109,-0.155,-0.1865,0.20950000000000002,-0.023000000000000007,-0.488,0.806,0.202,0.414,-0.928,0.542
0.265,0.11,-0.155,-0.1875,0.21000000000000002,-0.022500000000000006,-0.485,0.797,0.199,0.409,-0.924,0.539
0.265,0.11,-0.155,-0.1875,0.21000000000000002,-0.022500000000000006,-0.485,0.785,0.195,0.405,-0.92,0.535
0.269,0.11,-0.159,-0.1895,0.21400000000000002,-0.024500000000000008,-0.486,0.772,0.183,0.401,-0.916,0.531
0.27,0.11,-0.16,-0.19,0.21500000000000002,-0.02500000000000001,-0.482,0.764,0.17,0.396,-0.915,0.527
0.27,0.11,-0.16,-0.19,0.21500000000000002,-0.02500000000000001,-0.48,0.754,0.161,0.396,-0.916,0.523
0.27,0.11,-0.16,-0.19,0.21500000000000002,-0.02500000000000001,-0.479,0.743,0.152,0.393,-0.914,0.52
0.27,0.11,-0.16,-0.19,0.21500000000000002,-0.02500000000000001,-0.48,0.735,0.14,0.38,-0.91,0.52
0.27,0.11,-0.16,-0.19,0.21500000000000002,-0.02500000000000001,-0.501,0.723,0.128,0.372,-0.91,0.516
0.27,0.11,-0.16,-0.19,0.21500000000000002,-0.02500000000000001,-0.509,0.714,0.119,0.364,-0.911,0.512
0.27,0.11,-0.16,-0.19,0.21500000000000002,-0.02500000000000001,-0.514,0.704,0.111,0.356,-0.908,0.508
0.269,0.109,-0.16,-0.189,0.21450000000000002,-0.02550000000000001,-0.53,0.693,0.103,0.348,-0.905,0.504
0.27,0.11,-0.16,-0.19,0.21500000000000002,-0.02500000000000001,-0.545,0.685,0.095,0.34,-0.905,0.5
0.287,0.127,-0.16,-0.207,0.22349999999999998,-0.016499999999999987,-0.542,0.677,0.087,0.332,-0.905,0.501
0.289,0.129,-0.16,-0.209,0.22449999999999998,-0.015499999999999986,-0.539,0.669,0.079,0.324,-0.902,0.489
0.284,0.124,-0.16,-0.204,0.22199999999999998,-0.017999999999999988,-0.541,0.661,0.071,0.316,-0.899,0.473
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.539,0.653,0.064,0.308,-0.9,0.462
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.54,0.645,0.06,0.3,-0.9,0.45
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.56,0.637,0.052,0.292,-0.896,0.438
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.57,0.632,0.047,0.284,-0.894,0.426
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.57,0.628,0.041,0.276,-0.896,0.416
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.57,0.625,0.034,0.268,-0.894,0.408
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.57,0.625,0.03,0.265,-0.89,0.4
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.57,0.621,0.022,0.265,-0.89,0.392
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.569,0.619,0.017,0.262,-0.891,0.384
0.284,0.125,-0.159,-0.2045,0.22149999999999997,-0.016999999999999987,-0.572,0.621,0.013,0.259,-0.888,0.376
0.278,0.125,-0.153,-0.2015,0.21550000000000002,-0.014000000000000012,-0.575,0.619,0.01,0.26,-0.885,0.367
0.28,0.125,-0.155,-0.2025,0.21750000000000003,-0.015000000000000013,-0.575,0.615,0.01,0.26,-0.885,0.355
0.305,0.125,-0.18,-0.215,0.2425,-0.027499999999999997,-0.575,0.615,0.006,0.256,-0.885,0.347
0.31,0.125,-0.185,-0.2175,0.2475,-0.03,-0.575,0.616,0.005,0.254,-0.886,0.339
0.302,0.125,-0.177,-0.2135,0.2395,-0.025999999999999995,-0.575,0.613,0.003,0.256,-0.883,0.331
0.299,0.125,-0.174,-0.212,0.2365,-0.024499999999999994,-0.574,0.61,0.0,0.254,-0.88,0.323
0.295,0.125,-0.17,-0.21,0.23249999999999998,-0.022499999999999992,-0.57,0.61,0.0,0.25,-0.88,0.315
0.295,0.125,-0.17,-0.21,0.23249999999999998,-0.022499999999999992,-0.57,0.611,-0.004,0.25,-0.88,0.307
0.293,0.125,-0.168,-0.209,0.23049999999999998,-0.02149999999999999,-0.57,0.607,-0.005,0.251,-0.881,0.296
0.287,0.125,-0.162,-0.206,0.22449999999999998,-0.01849999999999999,-0.57,0.605,-0.007,0.248,-0.878,0.285
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.57,0.604,-0.01,0.245,-0.875,0.278
0.285,0.125,-0.16,-0.205,0.22249999999999998,-0.017499999999999988,-0.57,0.6,-0.01,0.245,-0.875,0.27
0.281,0.125,-0.156,-0.203,0.21850000000000003,-0.015500000000000014,-0.57,0.6,-0.014,0.241,-0.875,0.262
0.276,0.125,-0.151,-0.2005,0.21350000000000002,-0.013000000000000012,-0.57,0.601,-0.015,0.239,-0.876,0.254
0.275,0.125,-0.15,-0.2,0.21250000000000002,-0.012500000000000011,-0.57,0.598,-0.017,0.241,-0.873,0.246
0.273,0.124,-0.149,-0.1985,0.21100000000000002,-0.012500000000000011,-0.57,0.595,-0.02,0.239,-0.87,0.238
0.265,0.12,-0.145,-0.1925,0.20500000000000002,-0.012500000000000011,-0.57,0.595,-0.02,0.235,-0.87,0.23
0.265,0.12,-0.145,-0.1925,0.20500000000000002,-0.012500000000000011,-0.57,0.595,-0.033,0.235,-0.87,0.222
0.265,0.12,-0.145,-0.1925,0.20500000000000002,-0.012500000000000011,-0.57,0.592,-0.031,0.236,-0.87,0.217
0.265,0.12,-0.145,-0.1925,0.20500000000000002,-0.012500000000000011,-0.57,0.589,-0.037,0.233,-0.87,0.212
0.265,0.12,-0.145,-0.1925,0.20500000000000002,-0.012500000000000011,-0.57,0.59,-0.051,0.23,-0.869,0.203
0.265,0.12,-0.145,-0.1925,0.20500000000000002,-0.012500000000000011,-0.57,0.59,-0.045,0.23,-0.865,0.195
0.265,0.12,-0.145,-0.1925,0.20500000000000002,-0.012500000000000011,-0.57,0.59,-0.045,0.23,-0.865,0.191
0.268,0.121,-0.148,-0.1945,0.20750000000000002,-0.013000000000000012,-0.57,0.588,-0.045,0.227,-0.865,0.184
0.269,0.118,-0.151,-0.1935,0.21000000000000002,-0.016500000000000015,-0.57,0.596,-0.045,0.224,-0.865,0.177
0.263,0.115,-0.148,-0.189,0.20550000000000002,-0.0165,-0.57,0.605,-0.045,0.225,-0.864,0.174
0.265,0.115,-0.15,-0.19,0.20750000000000002,-0.0175,-0.57,0.6,-0.045,0.225,-0.86,0.17
0.295,0.115,-0.18,-0.205,0.2375,-0.03249999999999999,-0.57,0.6,-0.045,0.225,-0.86,0.162
0.298,0.115,-0.183,-0.2065,0.2405,-0.03399999999999999,-0.57,0.6,-0.046,0.226,-0.86,0.157
0.284,0.115,-0.169,-0.19949999999999998,0.22649999999999998,-0.026999999999999982,-0.57,0.6,-0.043,0.223,-0.86,0.153
0.279,0.115,-0.164,-0.197,0.22150000000000003,-0.024500000000000008,-0.57,0.599,-0.04,0.22,-0.86,0.149
0.275,0.115,-0.16,-0.195,0.21750000000000003,-0.022500000000000006,-0.57,0.595,-0.04,0.22,-0.86,0.145
0.268,0.115,-0.152,-0.1915,0.21050000000000002,-0.019000000000000003,-0.57,0.595,-0.04,0.22,-0.856,0.141
0.256,0.112,-0.144,-0.184,0.2,-0.016,-0.567,0.595,-0.04,0.22,-0.854,0.136
0.247,0.109,-0.137,-0.178,0.1925,-0.014499999999999999,-0.564,0.595,-0.04,0.22,-0.856,0.135
0.245,0.11,-0.135,-0.1775,0.19,-0.012499999999999997,-0.565,0.594,-0.04,0.22,-0.854,0.134
0.245,0.11,-0.135,-0.1775,0.19,-0.012499999999999997,-0.565,0.59,-0.04,0.22,-0.85,0.13
0.245,0.11,-0.135,-0.1775,0.19,-0.012499999999999997,-0.565,0.59,-0.04,0.216,-0.85,0.126
0.245,0.11,-0.135,-0.1775,0.19,-0.012499999999999997,-0.562,0.59,-0.037,0.215,-0.85,0.125
0.245,0.11,-0.135,-0.1775,0.19,-0.012499999999999997,-0.559,0.59,-0.034,0.215,-0.85,0.124
0.245,0.11,-0.135,-0.1775,0.19,-0.012499999999999997,-0.56,0.59,-0.035,0.215,-0.849,0.119
0.245,0.11,-0.135,-0.1775,0.19,-0.012499999999999997,-0.56,0.59,-0.035,0.215,-0.845,0.115
0.246,0.111,-0.135,-0.1785,0.1905,-0.011999999999999997,-0.56,0.586,-0.035,0.215,-0.845,0.115
0.24,0.105,-0.135,-0.1725,0.1875,-0.015,-0.557,0.585,-0.035,0.212,-0.845,0.112
0.248,0.113,-0.135,-0.1805,0.1915,-0.010999999999999996,-0.554,0.585,-0.035,0.209,-0.845,0.108
0.261,0.126,-0.135,-0.1935,0.198,-0.004500000000000004,-0.555,0.585,-0.035,0.21,-0.844,0.104
0.255,0.12,-0.135,-0.1875,0.195,-0.007500000000000007,-0.555,0.585,-0.035,0.21,-0.84,0.1
0.254,0.12,-0.134,-0.187,0.194,-0.007000000000000006,-0.555,0.581,-0.035,0.21,-0.84,0.096
0.259,0.12,-0.139,-0.1895,0.199,-0.009500000000000008,-0.556,0.58,-0.032,0.21,-0.841,0.095
0.259,0.12,-0.139,-0.1895,0.199,-0.009500000000000008,-0.553,0.58,-0.029,0.21,-0.838,0.094
0.262,0.119,-0.143,-0.1905,0.2025,-0.01200000000000001,-0.55,0.58,-0.03,0.211,-0.835,0.089
0.27,0.115,-0.155,-0.1925,0.21250000000000002,-0.020000000000000004,-0.55,0.58,-0.03,0.215,-0.835,0.085
0.266,0.115,-0.151,-0.1905,0.20850000000000002,-0.018000000000000002,-0.55,0.58,-0.026,0.215,-0.835,0.081
0.264,0.115,-0.149,-0.1895,0.20650000000000002,-0.017,-0.551,0.577,-0.025,0.215,-0.836,0.076
0.266,0.115,-0.15,-0.1905,0.20850000000000002,-0.018000000000000002,-0.548,0.574,-0.025,0.215,-0.833,0.075
0.264,0.114,-0.15,-0.189,0.20700000000000002,-0.018000000000000002,-0.545,0.575,-0.025,0.215,-0.83,0.074
0.26,0.11,-0.15,-0.185,0.20500000000000002,-0.020000000000000004,-0.545,0.575,-0.025,0.215,-0.83,0.065
0.256,0.11,-0.146,-0.183,0.201,-0.018000000000000002,-0.545,0.575,-0.021,0.215,-0.83,0.061
0.255,0.11,-0.145,-0.1825,0.2,-0.0175,-0.545,0.575,-0.02,0.215,-0.831,0.054
0.255,0.11,-0.145,-0.1825,0.2,-0.0175,-0.545,0.575,-0.02,0.215,-0.828,0.048
0.255,0.11,-0.145,-0.1825,0.2,-0.0175,-0.544,0.575,-0.02,0.215,-0.825,0.043
0.255,0.11,-0.145,-0.1825,0.2,-0.0175,-0.54,0.575,-0.02,0.215,-0.825,0.035
0.251,0.106,-0.145,-0.1785,0.198,-0.019500000000000003,-0.54,0.575,-0.016,0.219,-0.821,0.031
0.247,0.105,-0.142,-0.176,0.1945,-0.018500000000000003,-0.54,0.575,-0.014,0.22,-0.82,0.024
0.245,0.105,-0.139,-0.175,0.1925,-0.0175,-0.54,0.575,-0.016,0.22,-0.818,0.016
0.245,0.105,-0.14,-0.175,0.1925,-0.0175,-0.539,0.575,-0.014,0.22,-0.814,0.008
0.245,0.105,-0.14,-0.175,0.1925,-0.0175,-0.535,0.575,-0.01,0.22,-0.815,0.0
0.241,0.101,-0.14,-0.17099999999999999,0.1905,-0.01949999999999999,-0.535,0.571,-0.01,0.22,-0.816,-0.008
0.236,0.1,-0.137,-0.16799999999999998,0.186,-0.017999999999999988,-0.535,0.57,-0.01,0.22,-0.812,-0.016
0.235,0.1,-0.134,-0.16749999999999998,0.185,-0.017499999999999988,-0.535,0.57,-0.01,0.22,-0.81,-0.024
0.235,0.1,-0.135,-0.16749999999999998,0.185,-0.017499999999999988,-0.534,0.57,-0.009,0.22,-0.809,-0.032
0.235,0.1,-0.135,-0.16749999999999998,0.185,-0.017499999999999988,-0.53,0.57,-0.005,0.22,-0.805,-0.035
0.235,0.1,-0.135,-0.16749999999999998,0.185,-0.017499999999999988,-0.53,0.57,-0.005,0.22,-0.805,-0.035
0.234,0.098,-0.136,-0.166,0.185,-0.019000000000000003,-0.53,0.57,-0.005,0.223,-0.802,-0.039
0.239,0.106,-0.133,-0.1725,0.186,-0.013499999999999998,-0.53,0.57,-0.005,0.226,-0.799,-0.038
0.245,0.115,-0.13,-0.18,0.1875,-0.007499999999999993,-0.53,0.57,-0.004,0.225,-0.8,-0.045
0.24,0.11,-0.13,-0.175,0.185,-0.009999999999999995,-0.53,0.57,0.0,0.225,-0.8,-0.07
0.24,0.11,-0.13,-0.175,0.185,-0.009999999999999995,-0.526,0.57,0.0,0.225,-0.796,-0.078
0.24,0.11,-0.13,-0.175,0.185,-0.009999999999999995,-0.525,0.57,0.0,0.225,-0.794,-0.089
0.24,0.11,-0.13,-0.175,0.185,-0.009999999999999995,-0.525,0.57,0.0,0.225,-0.796,-0.099
0.239,0.11,-0.129,-0.1745,0.184,-0.009499999999999995,-0.525,0.569,0.001,0.225,-0.794,-0.109
0.235,0.11,-0.125,-0.1725,0.18,-0.007499999999999993,-0.525,0.565,0.005,0.225,-0.79,-0.125
0.235,0.11,-0.125,-0.1725,0.18,-0.007499999999999993,-0.521,0.565,0.005,0.229,-0.79,-0.13
0.236,0.111,-0.125,-0.1735,0.1805,-0.006999999999999992,-0.52,0.562,0.005,0.23,-0.791,-0.133
